City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
1,Puerto Ayora,EC,75.16,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
5,Atuona,PF,79.05,scattered clouds,-9.8,-139.0333,Villa Enata
7,Atar,MR,78.78,scattered clouds,20.5169,-13.0499,Oumou Elghoura
11,Vanimo,PG,77.72,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
12,Butaritari,KI,81.99,few clouds,3.0707,172.7902,Isles Sunset Lodge
16,Nishihara,JP,75.25,broken clouds,26.1842,127.7558,Minshuku Agaihama
18,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
20,Cockburn Town,TC,78.01,clear sky,21.4612,-71.1419,Osprey Beach Hotel
24,Hilo,US,84.27,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
25,Bathsheba,BB,79.41,few clouds,13.2167,-59.5167,Atlantis Hotel
27,Itarema,BR,78.01,moderate rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
28,Nadapuram,IN,79.14,overcast clouds,11.7,75.6667,Fabina Garden
39,Xuddur,SO,77.38,overcast clouds,4.1213,43.8894,Banjanay Hotel
40,Madang,PG,75.04,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
42,Vung Tau,VN,81.18,scattered clouds,10.346,107.0843,Seaside Resort
44,Mahebourg,MU,76.24,overcast clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
45,Sapa,PH,79.65,overcast clouds,5.1544,120.3241,
47,Cabo San Lucas,MX,88.11,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
57,Kapaa,US,82.38,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
61,Bud,US,78.82,broken clouds,39.447,-86.1758,Ted McQuinn Trust
73,Anori,BR,77.16,broken clouds,-3.7728,-61.6442,Novo Hotel 5 Irmãos
78,Formosa Do Rio Preto,BR,78.4,broken clouds,-11.0483,-45.1931,Porto Center Hotel
