City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
0,Lompoc,US,34.6391,-120.4579,66.02,66,40,19.57,scattered clouds
1,Puerto Ayora,EC,-0.7393,-90.3518,75.16,84,49,9.26,scattered clouds
2,Pevek,RU,69.7008,170.3133,9.61,94,85,5.97,overcast clouds
3,Sorland,NO,67.667,12.6934,41.4,77,97,17.78,overcast clouds
4,Naze,JP,28.3667,129.4833,72.52,92,100,10.16,overcast clouds
5,Atuona,PF,-9.8,-139.0333,79.05,75,39,12.84,scattered clouds
6,Palmer,US,42.1584,-72.3287,62.2,32,20,14.97,few clouds
7,Atar,MR,20.5169,-13.0499,78.78,19,37,6.69,scattered clouds
8,Rikitea,PF,-23.1203,-134.9692,70.77,89,100,6.4,heavy intensity rain
9,Lukulu,ZM,-14.3707,23.242,62.71,87,95,3.78,overcast clouds
10,Ushuaia,AR,-54.8,-68.3,39.06,92,95,5.48,overcast clouds
11,Vanimo,PG,-2.6741,141.3028,77.72,89,100,4.45,overcast clouds
12,Butaritari,KI,3.0707,172.7902,81.99,75,19,19.48,few clouds
13,Dourbali,TD,11.8091,15.8632,95.22,20,98,1.79,overcast clouds
14,Portland,US,45.5234,-122.6762,62.53,59,75,11.5,broken clouds
15,Oktyabrskiy,RU,54.4815,53.471,36.28,70,2,6.24,clear sky
16,Nishihara,JP,26.1842,127.7558,75.25,94,75,12.66,broken clouds
17,Hovin,NO,63.1055,10.225,41.85,95,100,1.32,overcast clouds
18,Saint-Philippe,RE,-21.3585,55.7679,76.59,83,85,18.12,light rain
19,Luderitz,NA,-26.6481,15.1594,60.67,76,0,18.21,clear sky
20,Cockburn Town,TC,21.4612,-71.1419,78.01,72,0,17.52,clear sky
21,San Quintin,MX,30.4833,-115.95,63.34,63,81,23.73,broken clouds
22,Bredasdorp,ZA,-34.5322,20.0403,59.65,55,98,7.36,overcast clouds
23,Airai,TL,-8.9266,125.4092,58.59,79,64,2.71,broken clouds
24,Hilo,US,19.7297,-155.09,84.27,83,100,5.75,overcast clouds
25,Bathsheba,BB,13.2167,-59.5167,79.41,69,20,14.97,few clouds
26,Qaanaaq,GL,77.484,-69.3632,5.31,89,100,5.19,overcast clouds
27,Itarema,BR,-2.9248,-39.9167,78.01,85,96,8.59,moderate rain
28,Nadapuram,IN,11.7,75.6667,79.14,91,100,1.86,overcast clouds
29,Mount Isa,AU,-20.7333,139.5,69.57,83,100,12.66,overcast clouds
30,Coihaique,CL,-45.5752,-72.0662,45.21,93,100,5.75,light rain
31,Mar Del Plata,AR,-38.0023,-57.5575,55.42,88,75,13.8,broken clouds
32,Yellowknife,CA,62.456,-114.3525,34.72,91,99,1.28,overcast clouds
33,Atambua,ID,-9.1061,124.8925,72.55,87,86,3.83,overcast clouds
34,Grindavik,IS,63.8424,-22.4338,45.07,87,100,12.66,overcast clouds
35,Severo-Kurilsk,RU,50.6789,156.125,38.55,100,100,6.53,overcast clouds
36,Albany,US,42.6001,-73.9662,58.17,42,12,10.65,few clouds
37,Cape Town,ZA,-33.9258,18.4232,59.34,70,0,15.01,clear sky
38,Norman Wells,CA,65.282,-126.8329,29.89,78,99,11.61,overcast clouds
39,Xuddur,SO,4.1213,43.8894,77.38,72,87,11.5,overcast clouds
40,Madang,PG,-5.2246,145.7966,75.04,95,100,7.2,overcast clouds
41,Zhigansk,RU,66.7697,123.3711,11.71,97,99,9.33,overcast clouds
42,Vung Tau,VN,10.346,107.0843,81.18,83,25,13.09,scattered clouds
43,Mayo,US,38.8876,-76.5119,74.12,34,0,6.91,clear sky
44,Mahebourg,MU,-20.4081,57.7,76.24,67,88,18.95,overcast clouds
45,Sapa,PH,5.1544,120.3241,79.65,82,95,1.88,overcast clouds
46,Ribeira Grande,PT,38.5167,-28.7,58.77,64,94,13.71,overcast clouds
47,Cabo San Lucas,MX,22.8909,-109.9124,88.11,23,0,14.97,clear sky
