City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Qaanaaq,GL,2022-04-19 22:50:59,77.484,-69.3632,-3.91,81,99,5.44
1,Lavrentiya,RU,2022-04-19 22:55:09,65.5833,-171.0,29.93,73,3,5.17
2,Guerrero Negro,MX,2022-04-19 22:52:21,27.9769,-114.0611,68.45,62,93,20.67
3,Mount Gambier,AU,2022-04-19 22:55:09,-37.8333,140.7667,55.31,94,40,6.91
4,Ngunguru,NZ,2022-04-19 22:55:10,-35.6167,174.5,67.91,94,63,15.97
5,Bambous Virieux,MU,2022-04-19 22:55:10,-20.3428,57.7575,79.21,94,40,6.91
6,Gillette,US,2022-04-19 22:55:10,44.2911,-105.5022,64.11,23,100,15.01
7,Ushuaia,AR,2022-04-19 22:55:11,-54.8,-68.3,47.86,66,40,10.36
8,Khatanga,RU,2022-04-19 22:55:11,71.9667,102.5,-4.31,100,99,4.23
9,Gobabis,NA,2022-04-19 22:55:11,-22.45,18.9667,59.54,43,27,9.42
10,Narsaq,GL,2022-04-19 22:55:12,60.9167,-46.05,30.34,41,5,18.54
11,Cherskiy,RU,2022-04-19 22:55:12,68.75,161.3,28.45,80,13,9.53
12,Kruisfontein,ZA,2022-04-19 22:55:13,-34.0033,24.7314,60.89,93,2,5.39
13,Jamestown,US,2022-04-19 22:50:36,42.097,-79.2353,35.71,75,100,18.41
14,Mataura,NZ,2022-04-19 22:55:13,-46.1927,168.8643,57.47,59,100,3.96
15,Boca Do Acre,BR,2022-04-19 22:51:15,-8.7522,-67.3978,75.02,94,77,1.23
16,Vytegra,RU,2022-04-19 22:55:14,61.0064,36.4481,34.68,99,91,1.7
17,Rikitea,PF,2022-04-19 22:55:14,-23.1203,-134.9692,77.76,75,45,16.49
18,Thompson,CA,2022-04-19 22:53:56,55.7435,-97.8558,30.36,69,75,6.91
19,Bredasdorp,ZA,2022-04-19 22:55:14,-34.5322,20.0403,60.64,87,1,3.83
20,Ilulissat,GL,2022-04-19 22:55:15,69.2167,-51.1,-3.87,95,93,8.16
21,Hobart,AU,2022-04-19 22:50:55,-42.8794,147.3294,59.25,72,20,11.5
22,Port Alfred,ZA,2022-04-19 22:55:15,-33.5906,26.891,66.18,90,66,3.0
23,Vaini,TO,2022-04-19 22:55:16,-21.2,-175.2,77.16,94,75,10.36
24,Sao Joao Da Barra,BR,2022-04-19 22:51:53,-21.6403,-41.0511,73.45,81,38,8.1
25,Xihe,CN,2022-04-19 22:55:16,31.6864,113.4659,60.62,73,100,5.14
26,Virginia Beach,US,2022-04-19 22:55:01,36.8529,-75.978,56.05,37,36,7.0
27,Saint-Philippe,RE,2022-04-19 22:55:17,-21.3585,55.7679,78.39,81,57,3.87
28,Port Hedland,AU,2022-04-19 22:55:17,-20.3167,118.5667,77.05,44,12,8.05
